姓名,属性,弱点,身高,体重,特征,分类,图鉴信息,附加信息,
叉字蝠,毒飞行,电冰超能力岩石,1.8,75,精神力,蝙蝠寶可夢,牙齒很銳利，就算在黑暗中被牠咬住吸血，也會因感覺不到疼痛而無法立刻發現。,靠着经过锻鍊的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。,
灯笼鱼,水电,草地面,0.5,12,蓄电,琵琶魚寶可夢,從鰭變化而來的觸手之中，分別流通著正電以及負電。,受到电属的招式攻击时，不会受到伤害，而是会回復。特发光透过让周围变亮，变得容易遇见野生的,
电灯怪,水电,草地面,1.2,22.5,蓄电,燈寶可夢,電燈怪發出的光有著極高的亮度，甚至可以從５０００公尺深的水底照亮水面。,受到电属的招式攻击时，不会受到伤害，而是会回復。特发光透过让周围变亮，变得容易遇见野生的,
皮丘,电,地面,0.3,2,静电,小鼠寶可夢,很不擅長蓄電。只要受到什麼驚嚇，就會馬上開始放電。,身上带有静电，有时会令接触到的对手麻痺。,
皮宝宝,妖精,毒钢,0.3,3,迷人之躯,星形寶可夢,根據當地的傳說，皮寶寶經常出沒的地方就是流星隕落之處。,有时会让接触到自己的对手陷入着迷状态。特魔法防守不会受到攻击以外的伤害。,
宝宝丁,一般妖精,毒钢,0.3,1,迷人之躯,氣球寶可夢,散發著微微的甜甜香氣，富有彈性的柔軟身軀一旦開始彈跳，就完全停不下來。,有时会让接触到自己的对手陷入着迷状态。特好胜被对手降低能力时，特攻会大幅提高。,
波克比,妖精,毒钢,0.3,1.5,活力,針球寶可夢,殼內好像塞滿了許多幸福，據說只要溫柔地對待牠，牠就會把幸運分給對方。,自己的攻击虽会变高，但命中率会降低。特天恩受到上天保佑，容易出现招式的追加效果。,
波克基古,妖精飞行,电冰毒岩石钢,0.6,3.2,活力,幸福寶可夢,據說牠會為了將幸福帶給心地善良的人而現身。,自己的攻击虽会变高，但命中率会降低。特天恩受到上天保佑，容易出现招式的追加效果。,
天然雀,超能力飞行,电冰岩石幽灵恶,0.2,2,同步,小鳥寶可夢,能夠靈巧地跳上樹幹。喜歡在枝頭上啄食新長出來的嫩芽。,将自己的中毒、麻痺或灼伤状态传染给对手。特早起即使陷入睡眠状态，也能以２倍的速度提早醒来。,
天然鸟,超能力飞行,电冰岩石幽灵恶,1.5,15,同步,神秘寶可夢,人們相信牠之所以幾乎不動也不叫地靜靜待著，是因為牠正注視著過去和未來。,将自己的中毒、麻痺或灼伤状态传染给对手。特早起即使陷入睡眠状态，也能以２倍的速度提早醒来。,
咩利羊,电,地面,0.6,7.8,静电,綿毛寶可夢,身體裡只要儲存了靜電，體毛就會膨脹到平時的２倍左右。一旦觸摸就會被電得麻麻的。,身上带有静电，有时会令接触到的对手麻痺。,
茸茸羊,电,地面,0.8,13.3,静电,綿毛寶可夢,儲存了過多電力的結果，造成牠身體表面有些部分連胎毛都長不出來。,身上带有静电，有时会令接触到的对手麻痺。,
电龙,电,地面,1.4,61.5,静电,燈寶可夢,尾巴的亮光能傳得很遠，一直以來都被當成篝火，受到人們的重視。,身上带有静电，有时会令接触到的对手麻痺。,
超级电龙,电龙,冰地面龙妖精,1.4,61.5,破格,燈寶可夢,超級進化帶來的過剩能量刺激了牠的基因，使得原本已經脫落的體毛重新長了出來。,可不受特性影响，向对手使出招式。,
美丽花,草,火冰毒飞行虫,0.4,5.8,叶绿,花寶可夢,在南國大量生活著。跳舞時花瓣會互相碰觸，發出悅耳的聲音。,天气为晴朗时，速度会提高。,
玛力露,水妖精,草电毒,0.4,8.5,厚脂肪,水鼠寶可夢,全身的體毛有著能將水彈開的特性，所以就算碰到水也不會弄濕。,被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特大力士物理攻击的威力会变为２倍。,
玛力露丽,水妖精,草电毒,0.8,28.5,厚脂肪,水兔寶可夢,長長的耳朵是靈敏的感應器。能夠藉著聆聽水中的聲音來分辨出是什麼在動。,被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特大力士物理攻击的威力会变为２倍。,
树才怪,岩石,水草格斗地面钢,1.2,38,结实,模仿寶可夢,總是偽裝成樹的樣子。身體構造比起植物來，好像更接近石頭或岩石之類的東西,在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特坚硬脑袋即使使出会受反作用力伤害的招式，ＨＰ也不会减少。,
蚊香蛙皇,水,草电,1.1,33.9,储水,蛙寶可夢,雖然叫聲像噪音一樣吵，但某位作曲家卻受到其影響，創作了優美的敘事曲。,受到水属的招式攻击时，不会受到伤害，而是会回復。特湿气透过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。,
毽子草,草飞行,火毒飞行岩石,0.4,0.5,叶绿素,棉草寶可夢,會隨著風移動到很遠的地方。沒有人能具體指出帕底亞的毽子草是從哪裡來的。,天气为晴朗时，速度会提高。特叶子防守天气为晴朗时，不会陷入异常状态。,
毽子花,草飞行,火毒飞行岩石,0.6,1,叶绿素,棉草寶可夢,據說熱愛毽子花的人能夠透過牠頭上的花散發的香味，猜出牠是在哪裡出生的。,天气为晴朗时，速度会提高。特叶子防守天气为晴朗时，不会陷入异常状态。,
毽子棉,草飞行,火冰毒飞行岩石,0.8,3,叶绿素,棉草寶可夢,會乘著季風到處旅行。當毽子棉的棉花孢子掉光時，牠的旅行和生命也會隨之結束。,天气为晴朗时，速度会提高。特叶子防守天气为晴朗时，不会陷入异常状态。,
长尾怪手,一般,格斗,0.8,11.5,逃跑,長尾寶可夢,習慣了用尾巴做各種事之後，雙手就變得不怎麼靈活了。會在很高的樹上築巢。,一定能从野生宝可梦那裡逃走。特性捡拾有时会捡来对手用过的道具。冒险过程中也会捡来。,
向日种子,草,火冰毒飞行虫,0.3,1.8,叶绿素,種子寶可夢,會在某個早晨突然掉下來。對自己的弱小心知肚明，所以會不停儲存養分直到進化為止。,天气为晴朗时，速度会提高。特太阳之力晴朗天气时特攻会提高，但每回合ＨＰ会减少。,
向日花怪,草,火冰毒飞行虫,0.8,8.5,叶绿素,太陽寶可夢,白天時總是充滿精神，隨心所欲地四處行動，但太陽下山後卻是一動也不動。,天气为晴朗时，速度会提高。特太阳之力晴朗天气时特攻会提高，但每回合ＨＰ会减少。,
蜻蜻蜓,虫飞行,火电冰飞行岩石,1.2,38,加速,薄翼寶可夢,不轉動眼珠就可以３６０度環視。擅長急停和轉向，很快便能將盯上的獵物追得走投無路。,每一回合速度会变快。特复眼因为拥有复眼，会提高招式的命中率。,
乌波,水地面,草,0.4,8.5,湿气透过,水魚寶可夢,在冰冷的水中生活。當周遭的天氣變涼時，也會來到陸地上覓食。,把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。特储水受到水属的招式攻击时，不会受到伤害，而是会回復。,
沼王,水地面,草,1.4,75,湿气透过,水魚寶可夢,就算腦袋撞上船底或河裡的岩石，也完全不會去在意，悠然自在地游泳的悠閒寶可夢。,把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。特储水受到水属的招式攻击时，不会受到伤害，而是会回復。,
太阳伊布,超能力,虫幽灵恶,0.9,26.5,同步,太陽寶可夢,預知對手的行動時，分叉的尾巴前端就會微妙地擺動。,将自己的中毒、麻痺或灼伤状态传染给对手。,
月亮伊布,恶,格斗虫妖精,1,27,同步,月光寶可夢,當身體沐浴了月亮波動後，圓形花紋就會微微發光，使神秘的力量因而覺醒。,将自己的中毒、麻痺或灼伤状态传染给对手。,
黑暗鸦,恶飞行,电冰岩石妖精,0.5,2.1,不眠,黑暗寶可夢,人們相信晚上看到牠就會發生不吉利的事，這讓牠成了人見人厭的寶可夢。,因为拥有不会睡觉的体质，所以不会陷入睡眠状态。特超幸运因为非常幸运，容易击中对手的要害。,
呆呆王,水超能力,草电虫幽灵恶,2,79.5,迟钝,王者寶可夢,受到被咬時滲入大腦的毒素影響，使得非凡能力覺醒的呆呆獸。,感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。特我行我素因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。,
梦妖,幽灵,幽灵恶,0.7,1,飘浮,夜啼寶可夢,會在半夜嚇唬人類，然後把收集到的恐懼之心轉化成自身能量的寶可夢。,从地面浮起，从而不会受到地面属招式的攻击。,
未知图腾,超能力,虫幽灵恶,0.5,5,飘浮,象徵寶可夢,身體像是古代文字的寶可夢。雖然已有人在研究先出現的是文字還是未知圖騰，但至今仍是個謎。,从地面浮起，从而不会受到地面属招式的攻击。,
果然翁,超能力,虫幽灵恶,1.3,28.5,踩影,忍耐寶可夢,討厭光和衝擊。受到攻擊時身體會膨脹，反擊也會因此變強。,踩住对手的影子使其无法逃走或替换。,
麒麟奇,一般超能力,虫恶,1.5,41.5,精神力,長頸寶可夢,尾巴上的腦雖然很小，但卻是可以發揮出強大超能力的重要器官。,靠着经过锻鍊的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。特早起即使陷入睡眠状态，也能以２倍的速度提早醒来。,
榛果球,虫,火飞行岩石,0.6,7.2,结实,蓑衣蟲寶可夢,最喜歡把樹皮疊在身上加厚外殼。就算因此變重也毫不在意。,在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。,
佛烈托斯,虫钢,火,1.2,125.8,结实,蓑衣蟲寶可夢,總是貼著在粗大的樹幹上。一旦察覺到了什麼，就會射出外殼的碎片。,在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。,
土龙弟弟,一般,格斗,1.5,14,天恩,地蛇寶可夢,會在陰暗處做出迷宮。只要被誰看見就會用尾巴挖掘地面逃走。,受到上天保佑，容易出现招式的追加效果。特逃跑一定能从野生,
天蝎,地面飞行,水冰,1.1,64.8,怪力钳,飛蠍寶可夢,會悄無聲息地用滑翔的方式滑過空中。能用雙臂上的大爪子和腳上的爪子抓住獵物的臉，然後刺入毒刺。,因为拥有以力量为傲的钳子，不会被对手降低攻击。特沙隐在沙暴中闪避率会提高。,
大钢蛇,钢地面,火水格斗地面,9.2,400,坚硬脑袋,鐵蛇寶可夢,據說當大岩蛇活到了１００年以上，身體的成分就會變得如同鑽石一般。,即使使出会受反作用力伤害的招式，ＨＰ也不会减少。特结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。,
超级大钢蛇,钢地面,火水格斗地面,10.5,740,沙之力,鐵蛇寶可夢,在地下住得比大岩蛇還深。會朝著地球的中心挖掘，有時深度可達１公里。,沙暴天气时，岩石属、地面属和钢属招式的威力会提高。,
布鲁,妖精,毒钢,0.6,7.8,威吓,妖精寶可夢,喜歡與人親近，很會撒嬌。牠的動作與長相之間的反差似乎能讓年輕女性不禁著迷。,出场时威吓对手，使其退缩，从而降低对手的攻击。特逃跑一定能从野生,
布鲁皇,妖精,毒钢,1.4,48.7,威吓,妖精寶可夢,下顎的力量很強，但因為生性不喜歡鬥爭，所以很少有展露的機會。,出场时威吓对手，使其退缩，从而降低对手的攻击。特飞毛腿陷入异常状态时，速度会提高。,
千针鱼,水毒,电地面超能力,0.5,3.9,毒刺,氣球寶可夢,如果牠開始喝水那就危險了。牠會灑出長滿全身的毒針，然後朝著你襲擊過來。,有时会让接触到自己的对手陷入中毒状态。特悠游自如天气为下雨时，速度会提高。,
巨钳螳螂,虫钢,火,1.8,118,虫之预感,鉗子寶可夢,不管抓到多麼堅硬的東西，都能用含有鋼鐵成分的鉗子夾得粉碎。,ＨＰ减少的时候，虫属的招式威力会提高。特技术高手可让威力低的招式提高威力来进行攻击。,
超级巨钳螳螂,虫钢,火,2,125,技术高手,鉗子寶可夢,體內累積了過多的超級進化能量。要是經過了太長的時間，牠的身體就會開始融化。,可让威力低的招式提高威力来进行攻击。,
壶壶,虫岩石,水岩石钢,0.6,20.5,结实,發光寶可夢,甲殼裡儲存著樹果。為了避免受到襲擊，會一動不動地躲在岩石下面。,在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特贪吃鬼原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。,
赫拉克罗斯,虫格斗,火飞行超能力妖精,1.5,54,虫之预感,獨角寶可夢,對甜甜蜜愛不釋手，為了全都佔為己有，會用引以為傲的角扔飛對手。,ＨＰ减少的时候，虫属的招式威力会提高。特毅力陷入异常状态时，会拿出毅力，攻击会提高。,
超级赫拉克罗斯,虫格斗,火飞行超能力妖精,1.7,62.5,连续,獨角寶可夢,會用２隻角夾住東西舉起來。牠甚至能舉起比自己體重重５００倍的重量。,攻击若使用连续招式，总是可使出最高次数。,
狃拉,恶冰,火格斗虫岩石钢妖精,0.9,28,精神力,鉤爪寶可夢,會潛藏在黑暗中使自己變得不起眼，然後伺機襲擊獵物，是非常狡詐的寶可夢。,靠着经过锻鍊的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。特锐利目光靠着锐利的目光，命中率不会被降低。,
熊宝宝,一般,格斗,0.6,8.8,捡拾,小熊寶可夢,會偷偷跟蹤三蜜蜂找出牠們的巢，然後用手掌挖起大量的蜜汁來享用。,有时会捡来对手用过的道具。冒险过程中也会捡来。特飞毛腿陷入异常状态时，速度会提高。,
圈圈熊,一般,格斗,1.8,125.8,毅力,冬眠寶可夢,雖然面目猙獰，但在舔食最喜歡的蜜時，會開心到忍不住露出笑容。,陷入异常状态时，会拿出毅力，攻击会提高。特飞毛腿陷入异常状态时，速度会提高。,
熔岩虫,火,水地面岩石,0.7,35,熔岩,熔岩寶可夢,雖然體內有灼熱的熔岩不斷捲動，但變冷後就會凝固崩裂，身體也會因此變小。,铠甲将炽热的熔岩覆盖在身上，不会陷入冰冻状态。特火焰之躯有时会让接触到自己的对手陷入灼伤状态。,
熔岩蜗牛,火岩石,水格斗地面岩石,0.8,55,熔岩,熔岩寶可夢,殼是由皮膚冷卻後凝固而成的。只要碰一下就會崩裂成碎片。進入熔岩中就會恢復到原來的大小。,铠甲将炽热的熔岩覆盖在身上，不会陷入冰冻状态。特火焰之躯有时会让接触到自己的对手陷入灼伤状态。,
小山猪,冰地面,火水草格斗钢,0.4,6.5,迟钝,小豬寶可夢,為了尋找食物，會用鼻子摩擦地面來挖掘。偶爾會挖到溫泉。,感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。特雪隐天气为下雪时，闪避率会提高。,
长毛猪,冰地面,火水草格斗钢,1.1,55.8,迟钝,野豬寶可夢,朝著對手衝過去時，背上的體毛會倒豎起來。對聲音極度敏感。,感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。特雪隐天气为下雪时，闪避率会提高。,
太阳珊瑚,水岩石,草电格斗地面,0.6,5,活力,珊瑚寶可夢,頭頂上的珊瑚枝即使折斷了也會再長出來。人們會把漂亮的珊瑚枝當成保佑孕婦的護身符。,自己的攻击虽会变高，但命中率会降低。特自然回復异常状态会在离场后治癒。,
铁炮鱼,水,草电,0.6,12,活力,噴射寶可夢,從嘴裡噴出的水連１００公尺外的活動獵物都能命中。,自己的攻击虽会变高，但命中率会降低。特狙击手击中要害时，威力会进一步提高。,
章鱼桶,水,草电,0.9,28.5,吸盘,噴射寶可夢,有著愛鑽洞的習性。會搶奪其他寶可夢築的巢穴，在裡面睡覺。,用吸盘将自己牢牢吸附在地面上，让替换宝可梦的招式和道具失效。特性狙击手击中要害时，威力会进一步提高。,
信使鸟,冰飞行,火电岩石钢,0.9,16,干劲,搬運寶可夢,一整天都在搬運食物。據說曾經有遇難的人因為信使鳥的食物而得救。,透过激发出干劲，不会陷入睡眠状态。特活力自己的攻击虽会变高，但命中率会降低。,
巨翅飞鱼,水飞行,电岩石,2.1,220,悠游自如,風箏寶可夢,游動時速度上來後，甚至會從波浪上飛起來，然後就這樣滑翔１００公尺。,天气为下雨时，速度会提高。特储水受到水属的招式攻击时，不会受到伤害，而是会回復。,
盔甲鸟,钢飞行,火电,1.7,50.5,锐利目光,鋼甲鳥寶可夢,將牠脫落下來的翅膀加工製成的菜刀，鋒利程度足以讓一流廚師也點頭認可。,靠着锐利的目光，命中率不会被降低。特结实在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。,
戴鲁比,恶火,水格斗地面岩石,0.6,10.8,早起,陰暗寶可夢,擁有在狩獵的時候能使用各式各樣的叫聲來與夥伴溝通的智慧。,即使陷入睡眠状态，也能以２倍的速度提早醒来。特引火受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。,
黑鲁加,恶火,水格斗地面岩石,1.4,35,早起,陰暗寶可夢,要是被牠口中噴出的火焰灼傷，傷口的部分不管過了多久都依舊會感到疼痛。,即使陷入睡眠状态，也能以２倍的速度提早醒来。特引火受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。,
超级黑鲁加,恶火,水格斗地面岩石,1.9,49.5,太阳之力,陰暗寶可夢,在黑魯加自己都吃不消的高溫下，牠的紅色爪子和尾巴前端已經開始融化了。,晴朗天气时特攻会提高，但每回合ＨＰ会减少。,
刺龙王,水龙,龙妖精,1.8,152,悠游自如,龍寶可夢,棲息在沒有生物居住的深海。在很長一段時間裡，人們相信刺龍王的哈欠能引發洶湧捲動的海流,天气为下雨时，速度会提高。特狙击手击中要害时，威力会进一步提高。,
小小象,地面,水草冰,0.5,33.5,捡拾,長鼻寶可夢,會在河邊做出巢穴棲息。玩完泥巴後如果不把身體洗乾淨，就會渾身不自在。,有时会捡来对手用过的道具。冒险过程中也会捡来。,
顿甲,地面,水草冰,1.1,120,结实,鎧甲寶可夢,全身包裹著堅硬的皮膚，被車撞到也是毫髮無傷。但是對雨水卻毫無招架之力。,在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。,
多边兽Ⅱ,一般,格斗,0.6,32.5,复制,虛擬寶可夢,內建ＡＩ。會自己學習各式各樣的事物，但也會記住一些多餘的東西。,出场时，复制对手的特性，变为与之相同的特性。特性下载比较对手的防御和特防，根据较低的那项能力相应地提高自己的攻击或特攻。,
惊角鹿,一般,格斗,1.4,71.2,威吓,大角寶可夢,過去生活在嚴苛的環境下，因此當時的精神力量似乎比現在還要強。,出场时威吓对手，使其退缩，从而降低对手的攻击。特察觉出场时，可以察觉对手的持有物。,
图图犬,一般,格斗,1.2,58,我行我素,畫畫寶可夢,從尾巴尖端滲出的體液會隨著圖圖犬的情緒變化而出現不同的顏色。,因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。特技术高手可让威力低的招式提高威力来进行攻击。,
无畏小子,格斗,飞行超能力妖精,0.7,21,毅力,打鬥寶可夢,無論何時都充滿活力。為了變強，就算輸了一次又一次，也會不斷重新站起來迎戰對手。,陷入异常状态时，会拿出毅力，攻击会提高。特不屈之心每次畏缩时，不屈之心就会燃起，速度也会提高。,
战舞郎,格斗,飞行超能力妖精,1.4,48,威吓,倒立寶可夢,會旋轉身體使出踢擊。當牠高速旋轉身體時，會直接鑽進地底下。,出场时威吓对手，使其退缩，从而降低对手的攻击。特技术高手可让威力低的招式提高威力来进行攻击。,
迷唇娃,冰超能力,火虫岩石幽灵恶钢,0.4,6,迟钝,親吻寶可夢,在確認某樣東西時不是用手，而是會先用嘴唇去觸碰。會經常用舌頭舔去髒污。,感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。特预知梦出场时，预见1个对手持有的招式。,
电击怪,电,地面,0.6,23.5,静电,電氣寶可夢,聽到打雷的聲音就會很高興。如果能先把打雷的聲音錄下來，當牠心情低落的時候會很好用。,身上带有静电，有时会令接触到的对手麻痺。,
鸭嘴宝宝,火,水地面岩石,0.7,21.4,火焰之躯,火種寶可夢,當火焰像打開水龍頭似地不停從鼻子冒出來時，就代表牠感冒了。這時就讓牠待在熔岩裡休息吧。,有时会让接触到自己的对手陷入灼伤状态。,
大奶罐,一般,格斗,1.2,75.5,厚脂肪,乳牛寶可夢,每天能生產２０公升的鮮奶。當地的牧草越是優質，牠所生產的鮮奶就越香濃美味。,被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特胆量一般属,的
幸福蛋,一般,格斗,1.5,46.8,自然回復,幸福寶可夢,只要吃下幸福蛋的蛋，即便是只吃了一口，也能對任何人都溫和相待。,异常状态会在离场后治癒。特天恩受到上天保佑，容易出现招式的追加效果。,
雷公,电,地面,1.9,178,压迫感,天雷寶可夢,體內蘊藏著雷電般速度的寶可夢。牠的長嚎就像天雷落地一般，能震動空氣，搖撼大地。,给予对手压迫感，大量减少其使用招式的ＰＰ。,
炎帝,火,水地面岩石,2.1,198,压迫感,火山寶可夢,體內蘊藏著熔岩般熱情的寶可夢。被認為是從火山的爆發中誕生，能噴出燃盡一切的火焰。, 给予对手压迫感，大量减少其使用招式的ＰＰ。,
水君,水,草电,2,187,压迫感,極光寶可夢,體內蘊藏著泉水般溫柔的寶可夢。會用滑行般的動作在大地上奔跑，有著淨化濁水的力量。, 给予对手压迫感，大量减少其使用招式的ＰＰ。,
幼基拉斯,岩石地面,水草冰格斗地面钢,0.6,72,毅力,岩石膚寶可夢,誕生在地底深處。當牠吃完滿山的土壤後，就會為了成長而變成蛹。,陷入异常状态时，会拿出毅力，攻击会提高。,
沙基拉斯,岩石地面,水草冰格斗地面钢,1.2,152,蜕皮,子彈寶可夢,會以強勁的力道噴出在體內壓縮好的氣體，好讓自己能飛在空中大搞破壞的蛹。,透过蜕去身上的皮，有时会治癒异常状态。,
班基拉斯,岩石恶,水草格斗地面虫钢妖精,2,202,扬沙,鎧甲寶可夢,即便是改變周圍的地形也是小事一樁的大力士。個性狂妄，不顧周遭的感受。,出场时，会把天气变为沙暴。,
超级班基拉斯,岩石恶,水草格斗地面虫钢妖精,2.5,255,扬沙,鎧甲寶可夢,體內注入了驚人的能量，使得牠的背部裂開，只剩下破壞的本能驅使著牠行動。,出场时，会把天气变为沙暴。,
洛奇亚,超能力飞行,电冰岩石幽灵恶,5.2,216,压迫感,潛水寶可夢,有著只要輕輕揮動翅膀就能吹走房屋的破壞力，因此躲在不為人知的海底生活。,给予对手压迫感，大量减少其使用招式的ＰＰ。,
凤王,火飞行,水电岩石,3.8,199,压迫感,虹色寶可夢,據說在不同角度的光線照射下，會閃耀七彩光芒的羽毛能帶來幸福。據說牠住在彩虹的腳下。,给予对手压迫感，大量减少其使用招式的ＰＰ。,
時拉比,超能力草,火冰毒,0.6,5,自然回復 ,時空穿越寶可夢,從未來穿越時光而來的寶可夢。一般認為只要時拉比出現，就會有光明的未來在等著我們。,超能力温顺,
木守宫,草,火冰毒飞行虫,0.5,5,茂盛,林蜥寶可夢,能夠用腳底的小刺鉤住垂直的牆壁攀爬。會甩動粗粗的尾巴擊打對手。,ＨＰ减少的时候，草属的招式威力会提高。,
森林蜥蜴,草,火冰毒飞行虫,0.9,21.6,茂盛,林蜥寶可夢,靠著身上長出的葉子，可以方便地在森林裡隱藏身形躲避敵人。是生活在密林裡的爬樹高手。,ＨＰ减少的时候，草属的招式威力会提高。,
蜥蜴王,草,火冰毒飞行虫,1.7,52.2,茂盛,密林寶可夢,身上長出的葉子非常鋒利。會用敏捷的動作在樹枝間跳來跳去，從敵人的頭上或背後猛撲過去。,ＨＰ减少的时候，草属的招式威力会提高。,
超级蜥蜴王,草龙,冰毒飞行虫龙妖精,1.9,55.2,避雷针,密林寶可夢,身上長出的葉子非常鋒利。會用敏捷的動作在樹枝間跳來跳去，從敵人的頭上或背後猛撲過去。,将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。,
火稚鸡,火,水地面岩石,0.4,2.5,勐火,雛雞寶可夢,會緊貼著訓練家搖搖晃晃地走路。能從嘴裡噴出攝氏１０００度的灼熱火球把對手燒焦。,ＨＰ减少的时候，火属的招式威力会提高。,
力壮鸡,火格斗,水地面飞行超能力,0.9,19.5,勐火,幼雞寶可夢,會在山野間跑來跑去鍛鍊腳力。能用兼具速度和力量的腿在１秒內連踢１０次。,ＨＰ减少的时候，火属的招式威力会提高。,
火焰鸡,火格斗,水地面飞行超能力,1.9,52,勐火,猛火寶可夢,戰鬥時會從手腕噴出灼熱的火焰，勇敢地迎戰對手。對手越強，火焰就會燒得越旺。,ＨＰ减少的时候，火属的招式威力会提高。,
超级火焰鸡,火格斗,水地面飞行超能力,1.9,52,加速,猛火寶可夢,戰鬥時會從手腕噴出灼熱的火焰，勇敢地迎戰對手。對手越強，火焰就會燒得越旺。,每一回合速度会变快。,
水跃鱼,水,草电,0.4,7.6,激流,沼魚寶可夢,頭上的鰭是非常靈敏的雷達。可以不靠眼睛，從水或空氣的流動中感知周圍的狀況。,ＨＰ减少的时候，水属的招式威力会提高。,
沼跃鱼,水地面,草,0.7,28,激流,沼魚寶可夢,為了讓自己可以在地面上生活，牠的身體表面包覆著一層薄薄的黏膜。會在退潮後的海岸邊玩泥巴。,ＨＰ减少的时候，水属的招式威力会提高。,
巨沼怪,水地面,草,1.5,81.9,激流,沼魚寶可夢,這種寶可夢有著能輕鬆拖動１噸以上岩石的力量。視力好到在混濁的水中也能看清。,ＨＰ减少的时候，水属的招式威力会提高。,
超级巨沼怪,水地面,草,1.9,102,悠游自如,沼魚寶可夢,這種寶可夢有著能輕鬆拖動１噸以上岩石的力量。視力好到在混濁的水中也能看清。,天气为下雨时，速度会提高。,
土狼犬,恶,格斗虫妖精,0.5,13.6,逃跑,緊咬寶可夢,看到會動的東西就會立刻咬上去。雖然在獵物精疲力盡之前會一直追著不放，但如果受到反擊，有時也會嚇得跌倒。,一定能从野生宝可梦那裡逃走。特性飞毛腿陷入异常状态时，速度会提高。,
大狼犬,恶,格斗虫妖精,1,37,威吓,緊咬寶可夢,當牠發出兇猛的吼聲並壓低身體時，就是牠準備發動攻擊的前兆。會用鋒利的尖牙一口咬住對手。,出场时威吓对手，使其退缩，从而降低对手的攻击。特飞毛腿陷入异常状态时，速度会提高。,
蛇纹熊,一般,格斗,0.4,17.5,捡拾,豆貍寶可夢,會用背上的硬毛摩擦樹木，留下代表自己地盤的標記。性情比伽勒爾的蛇紋熊溫馴。,有时会捡来对手用过的道具。冒险过程中也会捡来。特贪吃鬼原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。,
直冲熊,一般,格斗,0.5,32.5,捡拾,猛衝寶可夢,體毛有著良好的韌度與質感。用牠身上掉下的毛製成的刮鬍刷是最上等的高級貨。,有时会捡来对手用过的道具。冒险过程中也会捡来。特贪吃鬼原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。,
刺尾虫,虫,火飞行岩石,0.3,3.6,鳞粉,蟲寶寶寶可夢,會用尾部的刺剝開樹皮，以滲出的樹汁為食糧。長著吸盤的腳即使在玻璃上也不會打滑。,被鳞粉守护着，不会受到招式的追加效果影响。,
甲壳茧,虫,火飞行岩石,0.6,10,蜕皮,蛹寶可夢,為了不讓自己掉落，將絲線纏在樹枝上支撐身體並等待著進化。會從小洞觀察外面的狀況。,透过蜕去身上的皮，有时会治癒异常状态。,
狩猎凤蝶,虫飞行,火电冰飞行岩石,1,28.4,虫之预感,蝴蝶寶可夢,非常喜歡甜蜜花粉的寶可夢。如果把開著花的花盆放在窗邊，牠就一定會飛過來採集花粉。,ＨＰ减少的时候，虫属的招式威力会提高。,
盾甲繭,虫,火飞行岩石,0.7,11.5,蛻皮,蛹寶可夢,盾甲繭的身體是由口中吐出的細絲包裹身體後硬化形成的。牠會在繭裡準備進化。,,
毒粉蛾,虫毒,火飞行超能力,1.2,31.6,鱗粉,毒蛾寶可夢,有著被燈光吸引的習性。被路燈引誘的毒粉蛾群會把行道樹上的葉子吃得一塌糊塗。,,
蓮葉童子,水草,毒飞行,0.5,2.6,悠游自如,浮萍寶可夢,會為了尋找清水而走動。如果長時間不喝水的話，頭上的葉子就會枯萎。,,
蓮帽小童,水草,毒飞行,1.2,32.5,悠游自如,爽朗寶可夢,傍晚時開始活動的夜行性寶可夢。喜歡吃河底的水苔。,,
