编号,姓名,属性,弱点,数据,imgs
215,狃拉,惡冰,火格鬥蟲岩石鋼妖精,身高0.9 m分類鉤爪寶可夢體重28.0 kg性別/特性精神力銳利目光特性精神力靠著經過鍛鍊的精神，不會因對手的攻擊而畏縮。面對威嚇也不會動搖。特性銳利目光靠著銳利的目光，命中率不會被降低。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/f6aa8ba86641d37951e957c98ca24852415eaa79.png
215,狃拉,格鬥毒,地面飛行超能力,身高0.9 m分類鉤爪寶可夢體重27.0 kg性別/特性精神力銳利目光特性精神力靠著經過鍛鍊的精神，不會因對手的攻擊而畏縮。面對威嚇也不會動搖。特性銳利目光靠著銳利的目光，命中率不會被降低。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/eb411478133ba1996cbc34921efd7d5e49161281.png
216,熊宝宝,一般,格鬥,身高0.6 m分類小熊寶可夢體重8.8 kg性別/特性撿拾飛毛腿特性撿拾有時會撿來對手用過的道具。冒險過程中也會撿來。特性飛毛腿陷入異常狀態時，速度會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/cfc46c413c96ee522461bc07fcaf0e52a1cefded.png
217,圈圈熊,一般,格鬥,身高1.8 m分類冬眠寶可夢體重125.8 kg性別/特性毅力飛毛腿特性毅力陷入異常狀態時，會拿出毅力，攻擊會提高。特性飛毛腿陷入異常狀態時，速度會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/84d5dfac179b1165400bced3fb26d6efe941db8e.png
218,熔岩虫,火,水地面岩石,身高0.7 m分類熔岩寶可夢體重35.0 kg性別/特性熔岩鎧甲火焰之軀特性熔岩鎧甲將熾熱的熔岩覆蓋在身上，不會陷入冰凍狀態。特性火焰之軀有時會讓接觸到自己的對手陷入灼傷狀態。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/2464897cf0117a088c44f79d3b38d3a0c7cdf1c1.png
219,熔岩蜗牛,火岩石,水格鬥地面岩石,身高0.8 m分類熔岩寶可夢體重55.0 kg性別/特性熔岩鎧甲火焰之軀特性熔岩鎧甲將熾熱的熔岩覆蓋在身上，不會陷入冰凍狀態。特性火焰之軀有時會讓接觸到自己的對手陷入灼傷狀態。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/f2c7684047094bb7669c1ef4070475ada8ed6d25.png
220,小山猪,冰地面,火水草格鬥鋼,身高0.4 m分類小豬寶可夢體重6.5 kg性別/特性遲鈍雪隱特性遲鈍感覺遲鈍，不會陷入著迷和被挑釁狀態。面對威嚇也不會動搖。特性雪隱天氣為下雪時，閃避率會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/fd50130cf69a3b355666f6534cd14c0d648a8500.png
221,长毛猪,冰地面,火水草格鬥鋼,身高1.1 m分類野豬寶可夢體重55.8 kg性別/特性遲鈍雪隱特性遲鈍感覺遲鈍，不會陷入著迷和被挑釁狀態。面對威嚇也不會動搖。特性雪隱天氣為下雪時，閃避率會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/30144ab2b19d163a8c4cb1f5f2da76fab216705f.png
222,太阳珊瑚,水岩石,草電格鬥地面,身高0.6 m分類珊瑚寶可夢體重5.0 kg性別/特性活力自然回復特性活力自己的攻擊雖會變高，但命中率會降低。特性自然回復異常狀態會在離場後治癒。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/fed93acdbe2d4fdf4677c55c4964128a54711d7d.png
222,太阳珊瑚,幽靈,幽靈惡,身高0.6 m分類珊瑚寶可夢體重0.5 kg性別/特性碎裂鎧甲特性碎裂鎧甲因物理招式受到傷害時，防禦會降低，速度會大幅提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/0117d8e418c4c6232434ebd6d8a0d1ef4a62da8f.png
223,铁炮鱼,水,草電,身高0.6 m分類噴射寶可夢體重12.0 kg性別/特性活力狙擊手特性活力自己的攻擊雖會變高，但命中率會降低。特性狙擊手擊中要害時，威力會進一步提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/4edd69e79aacbd95a49517b11198ad37f86b9ccf.png
224,章鱼桶,水,草電,身高0.9 m分類噴射寶可夢體重28.5 kg性別/特性吸盤狙擊手特性吸盤用吸盤將自己牢牢吸附在地面上，讓替換寶可夢的招式和道具失效。特性狙擊手擊中要害時，威力會進一步提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/40698c62ba96d60aa0edb2672c444b7da05a6f8f.png
225,信使鸟,冰飛行,火電岩石鋼,身高0.9 m分類搬運寶可夢體重16.0 kg性別/特性幹勁活力特性幹勁透過激發出幹勁，不會陷入睡眠狀態。特性活力自己的攻擊雖會變高，但命中率會降低。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/3070d20fbfdfe27e849f36fc29bb120c6e98f8a1.png
226,巨翅飞鱼,水飛行,電岩石,身高2.1 m分類風箏寶可夢體重220.0 kg性別/特性悠游自如儲水特性悠游自如天氣為下雨時，速度會提高。特性儲水受到水屬性的招式攻擊時，不會受到傷害，而是會回復。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/ff171798dc7c58cacc6fb5a1072e3027ac630402.png
227,盔甲鸟,鋼飛行,火電,身高1.7 m分類鋼甲鳥寶可夢體重50.5 kg性別/特性銳利目光結實特性銳利目光靠著銳利的目光，命中率不會被降低。特性結實在ＨＰ全滿時受到招式攻擊不會被一擊打倒。一擊必殺的招式也沒有效果。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/bd1928522605553c6a669e8f32a8de3fdcc8a315.png
228,戴鲁比,惡火,水格鬥地面岩石,身高0.6 m分類陰暗寶可夢體重10.8 kg性別/特性早起引火特性早起即使陷入睡眠狀態，也能以２倍的速度提早醒來。特性引火受到火屬性的招式攻擊時，吸收火焰，讓自己使出的火屬性招式變強。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/d035645f7b74a36eb0ab22c453244c54d432d412.png
229,黑鲁加,惡火,水格鬥地面岩石,身高1.4 m分類陰暗寶可夢體重35.0 kg性別/特性早起引火特性早起即使陷入睡眠狀態，也能以２倍的速度提早醒來。特性引火受到火屬性的招式攻擊時，吸收火焰，讓自己使出的火屬性招式變強。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/13586581e62759dc41f668168c9f51c9a75c9356.png
229,超级黑鲁加,惡火,水格鬥地面岩石,身高1.9 m分類陰暗寶可夢體重49.5 kg性別/特性太陽之力特性太陽之力晴朗天氣時特攻會提高，但每回合ＨＰ會減少。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/997f32e3b38169eab2b431bc2ead3c8217674f6a.png
230,刺龙王,水龍,龍妖精,身高1.8 m分類龍寶可夢體重152.0 kg性別/特性悠游自如狙擊手特性悠游自如天氣為下雨時，速度會提高。特性狙擊手擊中要害時，威力會進一步提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/dcebc814b47a66f6af995293c4c9703510f3203c.png
231,小小象,地面,水草冰,身高0.5 m分類長鼻寶可夢體重33.5 kg性別/特性撿拾特性撿拾有時會撿來對手用過的道具。冒險過程中也會撿來。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/43e554fc9e1f4b2abe8ad1d142b68d74e16223a1.png
232,顿甲,地面,水草冰,身高1.1 m分類鎧甲寶可夢體重120.0 kg性別/特性結實特性結實在ＨＰ全滿時受到招式攻擊不會被一擊打倒。一擊必殺的招式也沒有效果。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/e3e47319f8e791fd35559c75f552ceb36d6a141f.png
233,多边兽Ⅱ,一般,格鬥,身高0.6 m分類虛擬寶可夢體重32.5 kg性別特性複製下載特性複製出場時，複製對手的特性，變為與之相同的特性。特性下載比較對手的防禦和特防，根據較低的那項能力相應地提高自己的攻擊或特攻。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/e0cf20200e19405d7cffd0940e0380f5725e0451.png
234,惊角鹿,一般,格鬥,身高1.4 m分類大角寶可夢體重71.2 kg性別/特性威嚇察覺特性威嚇出場時威嚇對手，使其退縮，從而降低對手的攻擊。特性察覺出場時，可以察覺對手的持有物。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/508351880e80ddb6603147396172f87a86d53988.png
235,图图犬,一般,格鬥,身高1.2 m分類畫畫寶可夢體重58.0 kg性別/特性我行我素技術高手特性我行我素因為我行我素，不會陷入混亂狀態。面對威嚇也不會動搖。特性技術高手可讓威力低的招式提高威力來進行攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/a5f9a095f4598f63d6092a077c765e1839687707.png
236,无畏小子,格鬥,飛行超能力妖精,身高0.7 m分類打鬥寶可夢體重21.0 kg性別特性毅力不屈之心特性毅力陷入異常狀態時，會拿出毅力，攻擊會提高。特性不屈之心每次畏縮時，不屈之心就會燃起，速度也會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/dac21223589cec6f966b60aca69116f34d29e904.png
237,战舞郎,格鬥,飛行超能力妖精,身高1.4 m分類倒立寶可夢體重48.0 kg性別特性威嚇技術高手特性威嚇出場時威嚇對手，使其退縮，從而降低對手的攻擊。特性技術高手可讓威力低的招式提高威力來進行攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/bdedd5abef36cedc665b7f8fd63c8ce103444b54.png
238,迷唇娃,冰超能力,火蟲岩石幽靈惡鋼,身高0.4 m分類親吻寶可夢體重6.0 kg性別特性遲鈍預知夢特性遲鈍感覺遲鈍，不會陷入著迷和被挑釁狀態。面對威嚇也不會動搖。特性預知夢出場時，預見1個對手持有的招式。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/17973f54d105d192a89f202f32d4338cda0e2738.png
239,电击怪,電,地面,身高0.6 m分類電氣寶可夢體重23.5 kg性別/特性靜電特性靜電身上帶有靜電，有時會令接觸到的對手麻痺。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/e827edb2bf8db22caea14f21da3469a1d7173844.png
240,鸭嘴宝宝,火,水地面岩石,身高0.7 m分類火種寶可夢體重21.4 kg性別/特性火焰之軀特性火焰之軀有時會讓接觸到自己的對手陷入灼傷狀態。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/280744894a29f2990909bf6f8f50d07c2cababbd.png
241,大奶罐,一般,格鬥,身高1.2 m分類乳牛寶可夢體重75.5 kg性別特性厚脂肪膽量特性厚脂肪被厚厚的脂肪保護著，能夠讓火屬性和冰屬性招式的傷害減半。特性膽量一般屬性和格鬥屬性的招式可擊中幽靈屬性的寶可夢。面對威嚇也不會動搖。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/e22a57632e83045e3c510f2f31dbb0f249c61a34.png
242,幸福蛋,一般,格鬥,身高1.5 m分類幸福寶可夢體重46.8 kg性別特性自然回復天恩特性自然回復異常狀態會在離場後治癒。特性天恩受到上天保佑，容易出現招式的追加效果。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/2ea9c95fc5631b6f3c053994398ecff332b40e56.png
243,雷公,電,地面,身高1.9 m分類天雷寶可夢體重178.0 kg性別特性壓迫感特性壓迫感給予對手壓迫感，大量減少其使用招式的ＰＰ。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/c1261aabc35a32d67c08bcaea12c4c879ea2aff3.png
244,炎帝,火,水地面岩石,身高2.1 m分類火山寶可夢體重198.0 kg性別特性壓迫感特性壓迫感給予對手壓迫感，大量減少其使用招式的ＰＰ。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/967b76092000c899bf62b7c15a2e9e6827f5e304.png
245,水君,水,草電,身高2.0 m分類極光寶可夢體重187.0 kg性別特性壓迫感特性壓迫感給予對手壓迫感，大量減少其使用招式的ＰＰ。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/2de9e74170ed9d1aac76d9d87ea578d76e5baa0a.png
246,幼基拉斯,岩石地面,水草冰格鬥地面鋼,身高0.6 m分類岩石膚寶可夢體重72.0 kg性別/特性毅力特性毅力陷入異常狀態時，會拿出毅力，攻擊會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/9d882f56b195135b492a494c2136928aabd00395.png
247,沙基拉斯,岩石地面,水草冰格鬥地面鋼,身高1.2 m分類子彈寶可夢體重152.0 kg性別/特性蛻皮特性蛻皮透過蛻去身上的皮，有時會治癒異常狀態。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/c82e383cc71b7f58078692a9611c6134bbdbaca5.png
251,时拉比,超能力草,火冰毒飛行蟲幽靈惡,身高0.6 m分類時空穿越寶可夢體重5.0 kg性別特性自然回復特性自然回復異常狀態會在離場後治癒。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/af204c2381a4d78eae3f801521137bbf63ffd944.png
248,班基拉斯,岩石惡,水草格鬥地面蟲鋼妖精,身高2.0 m分類鎧甲寶可夢體重202.0 kg性別/特性揚沙特性揚沙出場時，會把天氣變為沙暴。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/9fbe8d7d76096b418aa495e0ceb6e284e612a081.png
248,超级班基拉斯,岩石惡,水草格鬥地面蟲鋼妖精,身高2.5 m分類鎧甲寶可夢體重255.0 kg性別/特性揚沙特性揚沙出場時，會把天氣變為沙暴。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/47593c73cdf2c006688384c736711a526f5ea267.png
249,洛奇亚,超能力飛行,電冰岩石幽靈惡,身高5.2 m分類潛水寶可夢體重216.0 kg性別特性壓迫感特性壓迫感給予對手壓迫感，大量減少其使用招式的ＰＰ。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/44708bc0531c717525ca3fc2bc92baf00c59de75.png
250,凤王,火飛行,水電岩石,身高3.8 m分類虹色寶可夢體重199.0 kg性別特性壓迫感特性壓迫感給予對手壓迫感，大量減少其使用招式的ＰＰ。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/76401a64fd7bc07a3476b288e29f91b7966e5ed0.png
251,时拉比,超能力草,火冰毒飛行蟲幽靈惡,身高0.6 m分類時空穿越寶可夢體重5.0 kg性別特性自然回復特性自然回復異常狀態會在離場後治癒。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/af204c2381a4d78eae3f801521137bbf63ffd944.png
252,木守宫,草,火冰毒飛行蟲,身高0.5 m分類林蜥寶可夢體重5.0 kg性別/特性茂盛特性茂盛ＨＰ減少的時候，草屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/e09cc249c929843514abac5c9fbd644ede62e5b2.png
253,森林蜥蜴,草,火冰毒飛行蟲,身高0.9 m分類林蜥寶可夢體重21.6 kg性別/特性茂盛特性茂盛ＨＰ減少的時候，草屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/85e9e0a83a2281527cbdb9d0a151e53881ba716b.png
254,蜥蜴王,草,火冰毒飛行蟲,身高1.7 m分類密林寶可夢體重52.2 kg性別/特性茂盛特性茂盛ＨＰ減少的時候，草屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/d39f0f1df713e8e0199cc72e8cf7af47cd5a5855.png
254,超级蜥蜴王,草龍,冰毒飛行蟲龍妖精,身高1.9 m分類密林寶可夢體重55.2 kg性別/特性避雷針特性避雷針將電屬性的招式吸引到自己身上，不但不會受到傷害，反而會提高特攻。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/d7d457cb1d0f7fe0ac881370d0ed4bb3c4f9a1fd.png
255,火稚鸡,火,水地面岩石,身高0.4 m分類雛雞寶可夢體重2.5 kg性別/特性猛火特性猛火ＨＰ減少的時候，火屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/5903561fb10a3c625a06c2e01d44faff8946d398.png
256,力壮鸡,火格鬥,水地面飛行超能力,身高0.9 m分類幼雞寶可夢體重19.5 kg性別/特性猛火特性猛火ＨＰ減少的時候，火屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/f8ec5dcba640056246a9b80ca0474d64f08e743b.png
257,火焰鸡,火格鬥,水地面飛行超能力,身高1.9 m分類猛火寶可夢體重52.0 kg性別/特性猛火特性猛火ＨＰ減少的時候，火屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/947ff39f80129baca28d55a25cda84dc47087ecd.png
257,超级火焰鸡,火格鬥,水地面飛行超能力,身高1.9 m分類猛火寶可夢體重52.0 kg性別/特性加速特性加速每一回合速度會變快。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/2d68fc9cdab6d79725910a7a28a14443fccec48e.png
258,水跃鱼,水,草電,身高0.4 m分類沼魚寶可夢體重7.6 kg性別/特性激流特性激流ＨＰ減少的時候，水屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/33b32e8a93e55cbb39d07fa08f6bf183013572bc.png
259,沼跃鱼,水地面,草,身高0.7 m分類沼魚寶可夢體重28.0 kg性別/特性激流特性激流ＨＰ減少的時候，水屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/5018f4ca271afb8a95528a2cb8b30d765dc00627.png
260,巨沼怪,水地面,草,身高1.5 m分類沼魚寶可夢體重81.9 kg性別/特性激流特性激流ＨＰ減少的時候，水屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/913d9d8024c8f4ba1f9d22ae8ba0e7b0bd4bf77e.png
260,超级巨沼怪,水地面,草,身高1.9 m分類沼魚寶可夢體重102.0 kg性別/特性悠游自如特性悠游自如天氣為下雨時，速度會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/5032cf11c9cf61652167330d1ef01146ba75043b.png
261,土狼犬,惡,格鬥蟲妖精,身高0.5 m分類緊咬寶可夢體重13.6 kg性別/特性逃跑飛毛腿特性逃跑一定能從野生寶可夢那裡逃走。特性飛毛腿陷入異常狀態時，速度會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/07f7dfe943112a1c0e38be9fae7ffd6330637dc6.png
262,大狼犬,惡,格鬥蟲妖精,身高1.0 m分類緊咬寶可夢體重37.0 kg性別/特性威嚇飛毛腿特性威嚇出場時威嚇對手，使其退縮，從而降低對手的攻擊。特性飛毛腿陷入異常狀態時，速度會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/c5e61e356be7f909b01f9876101300567f11f76c.png
263,蛇纹熊,一般,格鬥,身高0.4 m分類豆貍寶可夢體重17.5 kg性別/特性撿拾貪吃鬼特性撿拾有時會撿來對手用過的道具。冒險過程中也會撿來。特性貪吃鬼原本ＨＰ變得很少時才會吃的樹果，在ＨＰ還有一半時就會把它吃掉。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/1dc1c0b84985b9ccb9fea189dfa4e3c5ded56c71.png
263,蛇纹熊,惡一般,格鬥蟲妖精,身高0.4 m分類豆貍寶可夢體重17.5 kg性別/特性撿拾貪吃鬼特性撿拾有時會撿來對手用過的道具。冒險過程中也會撿來。特性貪吃鬼原本ＨＰ變得很少時才會吃的樹果，在ＨＰ還有一半時就會把它吃掉。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/e3a69029693276eb9bd5d11190158268230d1297.png
264,直衝熊,一般,格鬥,身高0.5 m分類猛衝寶可夢體重32.5 kg性別/特性撿拾貪吃鬼特性撿拾有時會撿來對手用過的道具。冒險過程中也會撿來。特性貪吃鬼原本ＨＰ變得很少時才會吃的樹果，在ＨＰ還有一半時就會把它吃掉。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/6613011ef43e2f824fe1b6d15c711e7a83bf7da9.png
264,直衝熊,惡一般,格鬥蟲妖精,身高0.5 m分類猛衝寶可夢體重32.5 kg性別/特性撿拾貪吃鬼特性撿拾有時會撿來對手用過的道具。冒險過程中也會撿來。特性貪吃鬼原本ＨＰ變得很少時才會吃的樹果，在ＨＰ還有一半時就會把它吃掉。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/048d4507c08bfa3d5057602a032a5c9257e01e3e.png
265,刺尾虫,蟲,火飛行岩石,身高0.3 m分類蟲寶寶寶可夢體重3.6 kg性別/特性鱗粉特性鱗粉被鱗粉守護著，不會受到招式的追加效果影響。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/9bfcec414eb2ebb6cbc79e29f03f13fcd69fcb20.png
266,甲壳茧,蟲,火飛行岩石,身高0.6 m分類蛹寶可夢體重10.0 kg性別/特性蛻皮特性蛻皮透過蛻去身上的皮，有時會治癒異常狀態。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/b599bf87caad47845cd9551000d5425465a32ed8.png
267,狩猎凤蝶,蟲飛行,火電冰飛行岩石,身高1.0 m分類蝴蝶寶可夢體重28.4 kg性別/特性蟲之預感特性蟲之預感ＨＰ減少的時候，蟲屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/fc5b91d5ab9164d29ed8e39dc042894dcdb8f557.png
276,傲骨燕,一般飛行,電冰岩石,身高0.3 m分類幼燕寶可夢體重2.3 kg性別/特性毅力特性毅力陷入異常狀態時，會拿出毅力，攻擊會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/44e8c7a3a24251a240fc9d4a764b7a561b08d02c.png
277,大王燕,一般飛行,電冰岩石,身高0.7 m分類燕子寶可夢體重19.8 kg性別/特性毅力特性毅力陷入異常狀態時，會拿出毅力，攻擊會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/e8429346c393f7bbb55eb05f1049c8eba3dc73a3.png
278,长翅鸥,水飛行,電岩石,身高0.6 m分類海鷗寶可夢體重9.5 kg性別/特性銳利目光濕潤之軀特性銳利目光靠著銳利的目光，命中率不會被降低。特性濕潤之軀天氣為下雨時，會治癒異常狀態。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/b23c968296c1b62d6b36bdbbdca00fe31aa71456.png
279,大嘴鸥,水飛行,電岩石,身高1.2 m分類水鳥寶可夢體重28.0 kg性別/特性銳利目光降雨特性銳利目光靠著銳利的目光，命中率不會被降低。特性降雨出場時，會將天氣變為下雨。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/7c464b5870010c09f605c00e1589cacd1463335b.png
280,拉鲁拉丝,超能力妖精,毒幽靈鋼,身高0.4 m分類心情寶可夢體重6.6 kg性別/特性同步複製特性同步將自己的中毒、麻痺或灼傷狀態傳染給對手。特性複製出場時，複製對手的特性，變為與之相同的特性。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/f03985b3592de4c132f47ea359f8e700f86f1a3b.png
281,奇鲁莉安,超能力妖精,毒幽靈鋼,身高0.8 m分類感情寶可夢體重20.2 kg性別/特性同步複製特性同步將自己的中毒、麻痺或灼傷狀態傳染給對手。特性複製出場時，複製對手的特性，變為與之相同的特性。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/581324fb829bc344584a92e7443b759146fdeda0.png
282,沙奈朵,超能力妖精,毒幽靈鋼,身高1.6 m分類包容寶可夢體重48.4 kg性別/特性同步複製特性同步將自己的中毒、麻痺或灼傷狀態傳染給對手。特性複製出場時，複製對手的特性，變為與之相同的特性。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/bc3d0b23c6c391470d9f4f37e7f8882a55a74da8.png
282,超级沙奈朵,超能力妖精,毒鋼,身高1.6 m分類包容寶可夢體重48.4 kg性別/特性妖精皮膚特性妖精皮膚一般屬性的招式會變為妖精屬性。威力會少量提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/7164df031601d573ddf9e32ed8340e1a6497b2ad.png
283,溜溜糖球,蟲水,電飛行岩石,身高0.5 m分類水黽寶可夢體重1.7 kg性別/特性悠游自如特性悠游自如天氣為下雨時，速度會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/db6699b1299a5ddc6fac072521e6a7af5608b4b8.png
284,雨翅蛾,蟲飛行,火電冰飛行岩石,身高0.8 m分類眼珠寶可夢體重3.6 kg性別/特性威嚇特性威嚇出場時威嚇對手，使其退縮，從而降低對手的攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/12c31be9dcf1bfc481fd2c4a51af3a5b07bd4ed4.png
285,蘑蘑菇,草,火冰毒飛行蟲,身高0.4 m分類蘑菇寶可夢體重4.5 kg性別/特性孢子毒療特性孢子透過攻擊有時會使接觸到自己的對手，陷入中毒、麻痺或睡眠狀態。特性毒療陷入中毒狀態時，ＨＰ不會減少，反而會漸漸增加。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/40b5abece6dc9e699df8186077425bd76e0af9b1.png
286,斗笠菇,草格鬥,火冰毒超能力蟲妖精,身高1.2 m分類蘑菇寶可夢體重39.2 kg性別/特性孢子毒療特性孢子透過攻擊有時會使接觸到自己的對手，陷入中毒、麻痺或睡眠狀態。特性毒療陷入中毒狀態時，ＨＰ不會減少，反而會漸漸增加。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/3aa8c625ee9c1d0dee559a73d8d4ea455aaea785.png
287,懒人獭,一般,格鬥,身高0.8 m分類懶人寶可夢體重24.0 kg性別/特性懶惰特性懶惰如果使出招式，下一回合就需要休息。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/25ecd635b6ac9803e574229c886ede9a2f1fbd38.png
288,过动猿,一般,格鬥,身高1.4 m分類暴猿寶可夢體重46.5 kg性別/特性幹勁特性幹勁透過激發出幹勁，不會陷入睡眠狀態。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/e47866fb565a6326a380e7d28387d29306a9a23f.png
289,请假王,一般,格鬥,身高2.0 m分類怕麻煩寶可夢體重130.5 kg性別/特性懶惰特性懶惰如果使出招式，下一回合就需要休息。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/706c8f11741c23d1fe770bfaa46d57b7c424522c.png
290,土居忍士,蟲地面,火水冰飛行,身高0.5 m分類入門寶可夢體重5.5 kg性別/特性複眼特性複眼因為擁有複眼，會提高招式的命中率。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/37fa1f22e8e92f938fb29efce57ba58100e88eba.png
291,铁面忍者,蟲飛行,火電冰飛行岩石,身高0.8 m分類忍者寶可夢體重12.0 kg性別/特性加速特性加速每一回合速度會變快。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/e2e8dd2e56438f24777a0e35d3578a90650cd911.png
292,脱壳忍者,蟲幽靈,火飛行岩石幽靈惡,身高0.8 m分類空殼寶可夢體重1.2 kg性別特性神奇守護特性神奇守護不可思議的力量，只有效果絕佳的招式才會擊中自己。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/850c05d9fe18acb5bdb2ea553866d02e20077945.png
293,咕妞妞,一般,格鬥,身高0.6 m分類細語寶可夢體重16.3 kg性別/特性隔音特性隔音透過遮蔽聲音，不受到聲音招式的攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/317425bdb3ad33c3d6b35fbd2622cc34ec24f525.png
294,吼爆弹,一般,格鬥,身高1.0 m分類大聲寶可夢體重40.5 kg性別/特性隔音特性隔音透過遮蔽聲音，不受到聲音招式的攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/01aaefd3d17c873253e4fbfbee5454f3b33e3544.png
295,爆音怪,一般,格鬥,身高1.5 m分類噪音寶可夢體重84.0 kg性別/特性隔音特性隔音透過遮蔽聲音，不受到聲音招式的攻擊。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/3ed66e5f66b0cae2e3334e50b4dddc8df01c48d5.png
