姓名,进化,属性,弱点,身高,体重,特征,数据
蛇纹熊,直冲熊,一般,格斗,0.4,17.5,捡拾,豆貍宝可梦会用背上的硬毛摩擦树木，留下代表自己地盘的标记。性情比伽勒尔的蛇纹熊温驯。有时会捡来对手用过的道具。冒险过程中也会捡来。特贪吃鬼原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。
直冲熊,堵拦熊,一般,格斗,0.5,32.5,捡拾,猛冲宝可梦体毛有著良好的韧度与质感。用牠身上掉下的毛制成的刮胡刷是最上等的高级货。有时会捡来对手用过的道具。冒险过程中也会捡来。特贪吃鬼原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。
刺尾虫,甲壳茧,虫,火,0.3,3.6,鳞粉,虫宝宝宝可梦会用尾部的刺剥开树皮，以渗出的树汁为食粮。长著吸盘的脚即使在玻璃上也不会打滑。被鳞粉守护着，不会受到招式的追加效果影响。
甲壳茧,狩猎凤蝶,虫,火,0.6,10,蜕皮,蛹宝可梦为了不让自己掉落，将丝线缠在树枝上支撑身体并等待著进化。会从小洞观察外面的状况。透过蜕去身上的皮，有时会治愈异常状态。
狩猎凤蝶,狩猎凤蝶,虫飞行,火电,1,28.4,虫之预感,蝴蝶宝可梦非常喜欢甜蜜花粉的宝可梦。如果把开著花的花盆放在窗边，牠就一定会飞过来采集花粉。ＨＰ减少的时候，虫属的招式威力会提高。
盾甲茧,毒粉蛾,虫,火,0.7,11.5,蜕皮,蛹宝可梦盾甲茧的身体是由口中吐出的细丝包裹身体后硬化形成的。牠会在茧里准备进化。nan
毒粉蛾,毒粉蛾,虫毒,火,1.2,31.6,鳞粉,毒蛾宝可梦有著被灯光吸引的习性。被路灯引诱的毒粉蛾群会把行道树上的叶子吃得一塌糊涂。nan
莲叶童子,莲帽小童,水草,毒,0.5,2.6,悠游自如,浮萍宝可梦会为了寻找清水而走动。如果长时间不喝水的话，头上的叶子就会枯萎。nan
莲帽小童,乐天河童,水草,毒,1.2,32.5,悠游自如,爽朗宝可梦傍晚时开始活动的夜行性宝可梦。喜欢吃河底的水苔。nan
乐天河童,乐天河童,水草,毒,1.5,55.5,悠游自如 ,乐天宝可梦快乐的音乐节奏会让乐天河童的细胞活性化，使牠发挥出强大的力量。nan
橡实果,长鼻叶,草,火冰,0.5,4,叶绿素 ,橡实宝可梦在牠一动也不动的时候，看起来和树果一模一样，以吓唬来啄食自己的宝可梦为乐。nan
长鼻叶,狡猾天狗,草恶,火冰,1,28,叶绿素 ,捉弄宝可梦栖息在森林深处。会用头上的叶子做成笛子，吹出令人感到不安的音色。nan
狡猾天狗,狡猾天狗,草恶,火冰,1.3,59.6,叶绿素,邪恶宝可梦过去被视为森林之神而受到畏惧的宝可梦。有著读取对手想法并抢先一步行动的能力。nan
傲骨燕,大王燕,一般飞行,电冰,0.3,2.3,毅力,幼燕宝可梦不管面对多么强大的对手都会勇敢挑战。有著就算输了也不会气馁的骨气。肚子饿了就会大声痛哭。陷入异常状态时，会拿出毅力，攻击会提高。
大王燕,大王燕,一般飞行,电冰,0.7,19.8,毅力,燕子宝可梦会盘旋在遥远的高空，发现猎物后就会俯冲而下，用脚爪紧紧抓住猎物令其无法逃脱。陷入异常状态时，会拿出毅力，攻击会提高。
长翅鸥,大嘴鸥,水飞行,电,0.6,9.5,锐利目光,海鸥宝可梦会乘著上升气流，如同滑翔机般地飞在空中输送鸟嘴衔著的食物。靠着锐利的目光，命中率不会被降低。特湿润之躯天气为下雨时，会治愈异常状态。
大嘴鸥,大嘴鸥,水飞行,电,1.2,28,锐利目光,水鸟宝可梦把小型宝可梦装在鸟嘴里飞翔的空中送货员。会漂浮在海上让翅膀休息。靠着锐利的目光，命中率不会被降低。特降雨出场时，会将天气变为下雨。
拉鲁拉丝,奇鲁莉安,超能力妖精,毒,0.4,6.6,同步,心情宝可梦拥有使用头上的红角就可以敏锐察觉人类感情的能力。将自己的中毒、麻痺或灼伤状态传染给对手。特复制出场时，复制对手的特，变为与之相同的特。
奇鲁莉安,沙奈朵,超能力妖精,毒,0.8,20.2,同步,感情宝可梦能够操纵精神力量来扭曲周围的空间，让自己看见未来。将自己的中毒、麻痺或灼伤状态传染给对手。特复制出场时，复制对手的特，变为与之相同的特。
沙奈朵,超级沙奈朵,超能力妖精,毒,1.6,48.4,同步,包容宝可梦如果是为了保护训练家，牠会不惜用尽自己的精神力量制造出小型黑洞。将自己的中毒、麻痺或灼伤状态传染给对手。特复制出场时，复制对手的特，变为与之相同的特。
超级沙奈朵,超级沙奈朵,超能力妖精,毒钢,1.6,48.4,妖精皮肤,包容宝可梦据说在使用预知未来的能力察觉到训练家有危险时，就会使出最强的精神能量。一般属的招式会变为妖精属。威力会少量提高。
熘熘糖球,雨翅蛾,虫水,电,0.5,1.7,悠游自如,水黾宝可梦平时住在池塘里，午后下过雷阵雨时，会出现在街上的小水洼中。天气为下雨时，速度会提高。
雨翅蛾,雨翅蛾,虫飞行,火电,0.8,3.6,威吓,眼珠宝可梦能用４片翅膀浮在空中，并前后左右自在地飞来飞去。出场时威吓对手，使其退缩，从而降低对手的攻击。
蘑蘑菰,斗笠菰,草,火,0.4,4.5,孢子,蘑菇宝可梦喜欢潮湿的地方，白天会动也不动地待在森林的树荫下。会从头上放出毒粉。透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。特毒疗陷入中毒状态时，ＨＰ不会减少，反而会渐渐增加。
斗笠菰,斗笠菰,草格斗,火,1.2,39.2,孢子,蘑菇宝可梦会撒出毒孢子，然后再让因吸入孢子而痛苦不堪的对手吃上一记重拳。透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。特毒疗陷入中毒状态时，ＨＰ不会减少，反而会渐渐增加。
懒人獭,过动猿,一般,格斗,0.8,24,懒惰,懒人宝可梦１天会睡上２０个小时。使看著自己的对手睡意渐浓也是牠的能力之一。如果使出招式，下一回合就需要休息。
过动猿,请假王,一般,格斗,1.4,46.5,干劲,暴猿宝可梦如果不活动身体，就会累积过多的压力，使身体状况变糟。透过激发出干劲，不会陷入睡眠状态。
请假王,请假王,一般,格斗,2,130.5,懒惰,怕麻烦宝可梦虽然是世界上最懒散的宝可梦，但能借由把积蓄的能量一次释放，发挥出惊人的力量。如果使出招式，下一回合就需要休息。
土居忍士,铁面忍者,虫地面,火,0.5,5.5,复眼,入门宝可梦因为长时间生活在地底下，所以眼睛几乎什么都看不到。会靠触角来探察周围的状况。因为拥有复眼，会提高招式的命中率。
铁面忍者,脱壳忍者,虫飞行,火电,0.8,12,加速,忍者宝可梦一直听牠的叫声会让人头痛不止。会以肉眼无法看清的速度移动。每一回合速度会变快。
脱壳忍者,脱壳忍者,虫幽灵,火,0.8,1.2,神奇,空壳宝可梦牠是一种在土居忍士进化时，会神不知鬼不觉地出现在精灵球里的神奇宝可梦。守护不可思议的力量，只有效果绝佳的招式才会击中自己。
咕妞妞,吼爆弹,一般,格斗,0.6,16.3,隔音,细语宝可梦平时声音小到不注意听就听不到，但如果察觉到危险，就会用能引起头痛的声音大叫。透过遮蔽声音，不受到声音招式的攻击。
吼爆弹,爆音怪,一般,格斗,1,40.5,隔音,大声宝可梦会发出能将木造房屋震成碎片的巨大叫声来折磨对手。圆圆的耳朵具有扩音器的功能。透过遮蔽声音，不受到声音招式的攻击。
爆音怪,爆音怪,一般,格斗,1.5,84,隔音,噪音宝可梦能靠大叫产生的振动引发地震。当牠开始用身上的洞猛烈吸入空气，就是准备要大叫的前兆。透过遮蔽声音，不受到声音招式的攻击。
幕下力士,铁掌力士,格斗,飞行,1,86.4,厚脂肪,毅力宝可梦会在不断的严格训练中逐渐变强。能够承受任何攻击，是很有毅力的宝可梦。被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特毅力陷入异常状态时，会拿出毅力，攻击会提高。
铁掌力士,铁掌力士,格斗,飞行,2.3,253.8,厚脂肪,猛推宝可梦最喜欢和对手比力气。拥有的力量足以一掌挡下迎面驰来的列车。被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特毅力陷入异常状态时，会拿出毅力，攻击会提高。
露力丽,玛丽露,一般妖精,毒钢,0.2,2,厚脂肪,水珠宝可梦身体就像皮球般弹性十足。会挥甩尾巴来对抗体型比自己还大的对手。被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特大力士物理攻击的威力会变为２倍。
朝北鼻,大朝北鼻,岩石,水草,1,97,结实,罗盘宝可梦每年只会移动１公分，但在陷入危机时会转动身体，在一瞬间潜入地底。在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特磁力用磁力吸住钢属的
向尾喵,优雅猫,一般,格斗,0.6,11,迷人之躯,小猫宝可梦这种宝可梦有著看到动的东西就会不顾一切追著到处跑的习性。会追自己的尾巴追得头昏眼花。有时会让接触到自己的对手陷入着迷状态。特一般皮肤无论是什么属的招式，全部都会变为一般属。威力会少量提高。
优雅猫,优雅猫,一般,格斗,1.1,32.6,迷人之躯,清高宝可梦个性我行我素，喜欢自由散漫的生活。因为总是想吃就吃，想睡就睡，所以每天都毫无规律可言。有时会让接触到自己的对手陷入着迷状态。特一般皮肤无论是什么属的招式，全部都会变为一般属。威力会少量提高。
勾魂眼,超级勾魂眼,恶幽灵,妖精,0.5,11,锐利目光,黑暗宝可梦会在阴暗的洞窟里建造住所，并用锋利的爪子挖宝石吃。靠着锐利的目光，命中率不会被降低。特慢出使出招式的顺序必定会变为最后。
超级勾魂眼,超级勾魂眼,恶幽灵,妖精,0.5,161,魔法镜,黑暗宝可梦胸口的宝石在沐浴了超级进化的能量之后膨胀，撑破皮肤冒了出来。可不受到由对手使出的变化类招式所影响，并将其反弹。
大嘴娃,超级大嘴娃,钢妖精,火,0.6,11.5,怪力,欺骗宝可梦用温顺的长相让对手大意，然后用大颚一口咬住对手。咬住后就绝不会松口。因为拥有以力量为傲的钳子，不会被对手降低攻击。特威吓出场时威吓对手，使其退缩，从而降低对手的攻击。
超级大嘴娃,超级大嘴娃,钢妖精,火,1,23.5,大力士,欺骗宝可梦具有强大的攻击性。会用２个大颚夹住猎物，然后使尽力量把对手撕碎。物理攻击的威力会变为２倍。
可可多拉,可多拉,钢岩石,水,0.4,60,结实,铁铠宝可梦为了打造钢铁的身体，会从山上挖铁矿吃，但偶尔也会去吃桥梁或铁轨，因此很令人头痛。在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特坚硬脑袋即使使出会受反作用力伤害的招式，ＨＰ也不会减少。
可多拉,波士可多拉,钢岩石,水,0.9,120,结实,铁铠宝可梦会喝下满满一肚子充满营养的泉水来锻炼自己的钢铁身体。会在美味的泉水附近筑巢。在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特坚硬脑袋即使使出会受反作用力伤害的招式，ＨＰ也不会减少。
波士可多拉,超级波士可多拉,钢岩石,水,2.1,360,结实,铁铠宝可梦会把整座山当成自己的地盘。要是谁敢来胡闹，牠就会毫不留情地狠狠教训对方。总是在山中四处巡逻。在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。特坚硬脑袋即使使出会受反作用力伤害的招式，ＨＰ也不会减少。
超级波士可多拉,超级波士可多拉,钢,火,2.2,395,过滤,铁铠宝可梦会把整座山当成自己的地盘。要是谁敢来胡闹，牠就会毫不留情地狠狠教训对方。总是在山中四处巡逻。受到效果绝佳的攻击时，可减弱其威力。
玛沙那,恰雷姆,格斗超能力,飞行,0.6,11.2,瑜伽之力,冥想宝可梦每天都少不了瑜珈的修行。会藉著冥想提高自身的精神力。因瑜伽的力量，物理攻击的威力会变为２倍。
恰雷姆,恰雷姆,格斗超能力,飞行,1.3,31.5,瑜伽之力,冥想宝可梦可以用借由瑜珈修行锻炼出来的精神力量，来预测对手的行动。因瑜伽的力量，物理攻击的威力会变为２倍。
落雷兽,雷电兽,电,地面,0.6,15.2,静电,闪电宝可梦会将静电积蓄在体毛中后放电。当暴风雨来临前，会从全身冒出火花。身上带有静电，有时会令接触到的对手麻痺。特避雷针将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。
雷电兽,超级雷电兽,电,地面,1.5,40.2,静电,放电宝可梦会用电流刺激肌肉，因此能迅速行动。电流也能让肌肉放松并快速治愈酸痛。身上带有静电，有时会令接触到的对手麻痺。特避雷针将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。
超级雷电兽,超级雷电兽,电,地面,1.8,44,威吓,放电宝可梦借由超级进化在体内储存了惊人的电量，但却没有能力好好加以运用。出场时威吓对手，使其退缩，从而降低对手的攻击。
正电拍拍,正电拍拍,电,地面,0.4,4.2,正电,加油宝可梦总是在为伙伴加油的宝可梦。当伙伴努力加油的时候，牠会让身体短路，发出劈哩啪啦的火花声来表达自己的喜悦。场上的伙伴之中，如果有正电或负电特的
负电拍拍,负电拍拍,电,地面,0.4,4.2,负电,加油宝可梦比起自己来，为伙伴加油更重要。会让体内发出的电流短路，一边发出华丽的火花一边为伙伴加油。场上的伙伴之中，如果有正电或负电特的
电萤虫,甜甜萤,虫,火,0.7,17.7,发光,萤火虫宝可梦太阳下山后就会让尾巴发光，透过亮度或闪烁来和伙伴对话。会被甜甜萤的甜甜香气吸引。透过让周围变亮，变得容易遇见野生的
甜甜萤,甜甜萤,虫,火,0.6,17.7,迟钝,萤火虫宝可梦会利用甜甜的香气引诱电萤虫。然后诱导大量聚集而来的电萤虫，让牠们在夜空中描绘几何图形。感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。特有色眼镜可将效果不好的招式以正常的威力使出。
毒蔷薇,罗丝雷朵,草毒,火冰,0.3,2,自然,荆棘宝可梦只要闻到牠的花香，就能放松心情。浓郁的香味是毒蔷薇有活力的证明。回复异常状态会在离场后治愈。特毒刺有时会让接触到自己的对手陷入中毒状态。
溶食兽,吞食兽,毒,地面,0.4,10.3,污泥浆,胃袋宝可梦牠的胃能消化任何东西。消化时产生的气体带有强烈的恶臭。吸收了污泥浆的对手会因为强烈的恶臭而使得ＨＰ减少。特黏着道具会黏在具有黏的身体上，不会被对手夺走。
吞食兽,吞食兽,毒,地面,1.7,80,污泥浆,毒袋宝可梦只要是可以放进嘴里的大小，不管是什么都会整个吞下。能靠特殊的胃液消化任何东西。吸收了污泥浆的对手会因为强烈的恶臭而使得ＨＰ减少。特黏着道具会黏在具有黏的身体上，不会被对手夺走。
利牙鱼,巨牙鲨,水恶,草电,0.8,20.8,粗糙皮肤,凶猛宝可梦个性胆小，只有１只的话连狩猎也不敢去，但如果聚集了５只左右就会一下子变得凶暴。受到攻击时，用粗糙的皮肤弄伤接触到自己的对手。
巨牙鲨,超级巨牙鲨,水恶,草电,1.8,88.8,粗糙,凶暴宝可梦人们相信只要带著牠脱落的牙齿就不会在海上遭遇事故，因此会将牠的牙齿加工成饰品。受到攻击时，用粗糙的皮肤弄伤接触到自己的对手。
超级巨牙鲨,超级巨牙鲨,水恶,草电,2.5,130.3,强壮之颚,凶暴宝可梦黄色纹路是过去留下的旧伤。超级进化的能量流过时似乎会阵阵抽痛，让牠苦不堪言。颚部强壮，会提高啃咬类招式的威力。
吼吼鲸,吼鲸王,水,草电,2,130,水幕,球鲸宝可梦把喝入的海水从眼睛上方的鼻孔中喷出来吸引他人。每天要吃１吨弱丁鱼。将水幕裹在身上，不会陷入灼伤状态。特迟钝感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。
吼鲸王,吼鲸王,水,草电,14.5,398,水幕,浮鲸宝可梦有时会让大大的身体在波浪上跳跃，借此制造出冲击让对手昏迷。将水幕裹在身上，不会陷入灼伤状态。特迟钝感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。
呆火驼,喷火驼,火地面,水,0.7,24,迟钝,迟钝宝可梦体内燃烧著１２００度的熔岩。一旦气温变低，熔岩就会凝固，动作也会因此变得迟缓。感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。特单纯能力变化会变为平时的２倍。
喷火驼,超级喷火驼,火地面,水,1.9,220,熔岩,喷火宝可梦平时生活在火山口。以背上的驼峰每１０年会大爆发一次而闻名。铠甲将炽热的熔岩覆盖在身上，不会陷入冰冻状态。特坚硬岩石受到效果绝佳的攻击时，可减弱其威力。
超级喷火驼,超级喷火驼,火地面,水,2.5,320.5,强行,喷火宝可梦体内有著火山的宝可梦。会不时会从背上的驼峰里喷出体内储存的摄氏１万度的熔岩。招式会失去追加效果，但可以用更高的威力使出招式。
煤炭龟,煤炭龟,火,水,0.5,80.4,白色烟雾,煤炭宝可梦会在甲壳的内侧燃烧煤炭。遭受到敌人攻击时，会喷洒黑烟然后逃走。被白色烟雾保护着，不会被对手降低能力。特日照出场时，会将天气变为晴朗。
跳跳猪,噗噗猪,超能力,虫,0.7,30.6,厚脂肪,弹跳宝可梦如果不保持跳动就会死亡。戴在头上的珍珠能让自己的精神力量增强。被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特我行我素因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。
噗噗猪,噗噗猪,超能力,虫,0.9,71.5,厚脂肪,操纵宝可梦操纵对手时跳的奇异舞步，过去曾在外国掀起过一阵风潮。被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特我行我素因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。
晃晃斑,晃晃斑,一般,格斗,1.1,5,我行我素,斑点熊猫宝可梦总是摇摇晃晃，连走都走不稳。如果连续走了太长的时间，身体就会不舒服因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。特蹒跚陷入溷乱状态时，闪避率会提高。
大颚蚁,超音波幼虫,地面,水草,0.7,15,怪力钳,蚁狮宝可梦牠在沙漠中建造的巢穴造型就像是研钵一样。一旦掉进去就再也逃不出来了。因为拥有以力量为傲的钳子，不会被对手降低攻击。特沙穴在战斗中让对手无法逃走。
超音波幼虫,沙漠蜻蜓,地面龙,冰龙,1.1,15.3,飘浮,震动宝可梦２片翅膀高速振动产生的超音波会引起剧烈的头痛。从地面浮起，从而不会受到地面属招式的攻击。
沙漠蜻蜓,沙漠蜻蜓,地面龙,冰龙,2,82,飘浮,神秘宝可梦因为总是位于自己引发的沙暴中心，所以是极少现身于人前的宝可梦。从地面浮起，从而不会受到地面属招式的攻击。
刺球仙人掌,梦歌仙人掌,草,火,0.4,51.3,沙隐,仙人掌宝可梦喜欢沙漠等严酷环境。能靠体内储存的水分存活３０天。在沙暴中闪避率会提高。
梦歌仙人掌,梦歌仙人掌,草恶,火冰,1.3,77.4,沙隐,稻草人宝可梦会成群跟在沙漠中的旅人后方，等待对方因疲累而变得无法动弹。在沙暴中闪避率会提高。
青绵鸟,七夕青鸟,一般飞行,电冰,0.4,1.2,自然回复,绵鸟宝可梦从不疏于打理丝绵般的翅膀。一弄脏就会到水里洗干净。异常状态会在离场后治愈。
七夕青鸟,超级七夕青鸟,龙飞行,冰岩,1.1,20.6,自然回复,哼唱宝可梦只要与牠心意相通的人在场，牠就会用柔软的美丽翅膀轻轻包住对方，哼唱起旋律。异常状态会在离场后治愈。
超级七夕青鸟,超级七夕青鸟,龙妖精,冰毒,1.5,20.6,妖精皮肤,哼唱宝可梦会混在云朵中在空中轻快飞行。当牠用通透的嗓音唱出旋律，听者就会心醉神迷，仿佛置身梦境。一般属的招式会变为妖精属。威力会少量提高。
猫鼬斩,猫鼬斩,一般,格斗,1.3,40.3,免疫,猫鼬宝可梦和饭匙蛇是死对头。一旦撞见彼此，就会立刻张开前脚的爪子来威吓对方。因为体内拥有免疫能力，不会陷入中毒状态。
饭匙蛇,饭匙蛇,毒,地面,2.7,52.5,蜕皮,牙蛇宝可梦平时都用坚硬的岩石来打磨刀刃般的尾巴。会躲在树丛里，然后趁猎物靠近时用毒牙袭击。透过蜕去身上的皮，有时会治愈异常状态。
月石,月石,岩石超能力,水草,1,168,飘浮,陨石宝可梦月亮的盈亏似乎会影响牠力量的增减。每到满月之夜就会变得活跃。从地面浮起，从而不会受到地面属招式的攻击。
太阳岩,太阳岩,岩石超能力,水草,1.2,154,飘浮,陨石宝可梦当牠旋转自己的身体时，会发出太阳般的光芒，让敌人的眼睛暂时失明。从地面浮起，从而不会受到地面属招式的攻击。
泥泥鳅,鲶鱼王,水地面,草,0.4,1.9,迟钝,须鱼宝可梦２根胡子是灵敏的雷达。即使在因为泥泞而浑浊的水中，也能侦查到猎物的位置。感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。特危险预知察觉对手持有的危险招式。
鲶鱼王,鲶鱼王,水地面,草,0.9,23.6,迟钝,须鱼宝可梦地盘意识非常强烈，如果有外敌靠近，就会剧烈摇晃地面发动袭击。感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。特危险预知察觉对手持有的危险招式。
龙虾小兵,铁螯龙虾,水,草电,0.6,11.5,怪力钳,无赖宝可梦有著顽强生命力的宝可梦。不论河里的水有多脏都能适应并繁衍后代。因为拥有以力量为傲的钳子，不会被对手降低攻击。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。
铁螯龙虾,铁螯龙虾,水恶,草电,1.1,32.8,怪力钳,流氓宝可梦不停挥舞自己巨大的钳子，是个性情粗暴的家伙。被认为是很难培育的宝可梦。因为拥有以力量为傲的钳子，不会被对手降低攻击。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。
天秤偶,念力土偶,地面超能力,水草,0.5,21.5,飘浮,泥偶宝可梦用单脚一边旋转一边移动。有时候也能看到颠倒过来旋转的天秤偶。从地面浮起，从而不会受到地面属招式的攻击。
念力土偶,念力土偶,地面超能力,水草,1.5,108,飘浮,泥偶宝可梦似乎是由２万年前的古代人制作的泥偶蜕变而来的谜之宝可梦。从地面浮起，从而不会受到地面属招式的攻击。
触手百合,摇篮百合,岩石草,冰,1,23.8,吸盘,海百合宝可梦曾经生活在古代的温暖海洋中。会伪装成海草，埋伏著等待猎物，在猎物靠近时一口吞下。用吸盘将自己牢牢吸附在地面上，让替换
摇篮百合,摇篮百合,岩石草,冰,1.5,60.4,吸盘,藤壶宝可梦平时栖息在海中浅滩的底部，每当退潮时就会爬到陆地上，四处寻找猎物。用吸盘将自己牢牢吸附在地面上，让替换
太古羽虫,太古盔甲,岩石虫,水,0.7,12.5,战斗盔甲,古虾宝可梦从化石复原而来的太古羽虫就算放进海里也不会有活力，因为现在的水质和当年是不同的。被坚硬的甲壳守护着，不会被对手的攻击击中要害。
太古盔甲,太古盔甲,岩石虫,水,1.5,68.2,战斗盔甲,甲胄宝可梦过去的牠生活在陆地上，会为了寻找猎物而去海中狩猎。锐利的爪子是牠最大的武器。被坚硬的甲壳守护着，不会被对手的攻击击中要害。
丑丑鱼,美纳斯,水,草电,0.6,7.4,悠游自如,鱼宝可梦外表丑陋，所以不受欢迎。拥有惊人的生命力，因而成为了研究对象。天气为下雨时，速度会提高。特迟钝感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。
美纳斯,美纳斯,水,草电,6.2,162,神奇鳞片,慈爱宝可梦也被称为是最美的宝可梦。一直以来为无数的艺术家提供了灵感。陷入异常状态时，神奇鳞片会发生反应，防御会提高。特好胜被对手降低能力时，特攻会大幅提高。
飘浮泡泡,飘浮泡泡,一般,格斗,0.3,0.8,阴晴不定,天气宝可梦样子会随著天气而改变。这似乎是化学反应产生的结果，不受牠自身的意志控制。在天气的影响下，会变成水属、火属或冰属之中的一种。
变隐龙,变隐龙,一般,格斗,1,22,变色,变色宝可梦能改变体色，融入周围的景色中。如果长时间不去理会牠，牠就会闹别扭而不肯现身。自己的属性会变为从对手所受招式的属性。
怨影娃娃,诅咒娃娃,幽灵,幽灵,0.6,2.3,不眠,人偶宝可梦最爱吃像是怨恨和嫉妒这类的感情。会用竖立的角来察觉人类的心情。因为拥有不会睡觉的体质，所以不会陷入睡眠状态。特察觉出场时，可以察觉对手的持有物。
诅咒娃娃,超级诅咒娃娃,幽灵,幽灵,1.1,12.5,不眠,布偶宝可梦怨念积存在被丢弃的布偶里而变成了宝可梦。可以在昏暗的巷子里发现牠。因为拥有不会睡觉的体质，所以不会陷入睡眠状态。特察觉出场时，可以察觉对手的持有物。
超级诅咒娃娃,超级诅咒娃娃,幽灵,幽灵,1.2,13,恶作剧之心,布偶宝可梦过大的能量让诅咒增强到无法抑制的地步，使得牠连自己的训练家也开始憎恨。可以抢先使出变化类招式。
夜巡灵,彷徨夜灵,幽灵,幽灵,0.8,15,飘浮,渡魂宝可梦据说一旦发现不听话的孩子，牠就会在深夜里把那个孩子带去某个不知名的地方。从地面浮起，从而不会受到地面属招式的攻击。
彷徨夜灵,彷徨夜灵,幽灵,幽灵,1.6,30.6,压迫感,招手宝可梦身体内部是空的。只要一张开嘴就会像黑洞一样吸入所有东西。从地面浮起，从而不会受到地面属招式的攻击。
热带龙,热带龙,草飞行,火,2,100,叶绿素,水果宝可梦栖息在热带丛林里。脖子上的果实香甜美味。每年会结果２次。天气为晴朗时，速度会提高。特太阳之力晴朗天气时特攻会提高，但每回合ＨＰ会减少。
风铃铃,风铃铃,超能力,虫,0.6,1,飘浮,风铃宝可梦会让声音在身体的空洞里回响。发怒时的叫声会变成超音波，拥有震飞敌人的威力。从地面浮起，从而不会受到地面属招式的攻击。
阿勃梭鲁,超级阿勃梭鲁,恶,格斗,1.2,47,压迫感,灾祸宝可梦牠只有外表看起来不吉祥。其实牠会帮忙守护田地，还会在灾害发生时发出警告，是种对人们很有助益的宝可梦。给予对手压迫感，大量减少其使用招式的ＰＰ。特超幸运因为非常幸运，容易击中对手的要害。
超级阿勃梭鲁,超级阿勃梭鲁,恶,格斗,1.2,49,魔法镜,灾祸宝可梦灾祸宝可梦可不受到由对手使出的变化类招式所影响，并将其反弹。
小果然,果然翁,超能力,虫,0.6,14,踩影,开朗宝可梦和大群伙伴一起行动，透过和伙伴彼此推挤来锻炼自己的忍耐力。踩住对手的影子使其无法逃走或替换。
雪童子,冰鬼护,冰,火,0.7,16.8,精神力,雪笠宝可梦据说，好几只雪童子会聚集在大大的树叶底下，融洽地生活在一起。靠着经过锻炼的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。特冰冻之躯天气为下雪时，会渐渐回复ＨＰ。
冰鬼护,超级冰鬼护,冰,火,1.5,256.5,精神力,脸面宝可梦从大大的嘴巴里喷出寒气，把猎物瞬间冻得硬梆梆的，然后大口咬碎享用。靠着经过锻炼的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。特冰冻之躯天气为下雪时，会渐渐回复ＨＰ。
超级冰鬼护,超级冰鬼护,冰,火,2.1,350.2,冰冻皮肤,脸面宝可梦当牠从裂开的口中吐出强烈的寒气时，周遭会化成一片白色世界。一般属的招式会变为冰属。威力会少量提高。
海豹球,海魔狮,冰水,草电,0.8,39.5,厚脂肪,拍手宝可梦翻滚的速度比走路快得多。吃饭的时候会大家一起开心地拍手，所以会相当的吵。被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特冰冻之躯天气为下雪时，会渐渐回复ＨＰ。
海魔狮,帝牙海狮,冰水,草电,1.1,87.6,厚脂肪,滚球宝可梦有著碰上第一次看到的物体时，一定会用鼻子顶著转转看的习性。有时候也会转海豹球玩。被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特冰冻之躯天气为下雪时，会渐渐回复ＨＰ。
帝牙海狮,帝牙海狮,冰水,草电,1.4,150.6,厚脂肪,破冰宝可梦２根发达的獠牙连１０吨重的冰山也能一击粉碎。脂肪很厚，即使在冰点下也不怕。被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。特冰冻之躯天气为下雪时，会渐渐回复ＨＰ。
