妙蛙种子	妙蛙草
怒鹦哥	怒鹦哥
盐石宝	盐石垒
盐石垒	盐石巨灵
盐石巨灵	盐石巨灵
炭小侍	红莲铠骑
红莲铠骑	苍炎刃鬼
苍炎刃鬼	苍炎刃鬼
光蚪仔	电肚蛙
电肚蛙	电肚蛙
电海燕	大电海燕
大电海燕	大电海燕
偶叫獒	獒教父
獒教父	獒教父
滋汁鼹	涂标客
涂标客	涂标客
纳噬草	怖纳噬草
怖纳噬草	怖纳噬草
原野水母	陆地水母
陆地水母	陆地水母
毛崖蟹	毛崖蟹
热辣娃	狠辣椒
狠辣椒	狠辣椒
虫滚泥	虫甲圣
虫甲圣	虫甲圣
飘飘雏	超能艳鸵
超能艳鸵	超能艳鸵
小锻匠	巧锻匠
巧锻匠	巨锻匠
巨锻匠	巨锻匠
海地鼠	三海地鼠
三海地鼠	三海地鼠
下石鸟	下石鸟
波普海豚	海豚侠
海豚侠	海豚侠
噗隆隆	普隆隆姆
普隆隆姆	普隆隆姆
摩托蜥	摩托蜥
拖拖蚓	拖拖蚓
晶光芽	晶光花
晶光花	晶光花
墓仔狗	墓扬犬
墓扬犬	墓扬犬
缠红鹤	缠红鹤
走鲸	浩大鲸
浩大鲸	浩大鲸
轻身鳕	轻身鳕
吃吼霸	吃吼霸
米立龙	米立龙
弃世猴	弃世猴
土王	土王
奇麒麟	奇麒麟
土龙节节	土龙节节
仆斩将军	仆斩将军
雄伟牙	雄伟牙
吼叫尾	吼叫尾
勐恶菰	勐恶菰
振翼发	振翼发
爬地翅	爬地翅
沙铁皮	沙铁皮
铁辙迹	铁辙迹
铁包袱	铁包袱
铁臂膀	铁臂膀
铁脖颈	铁脖颈
铁毒蛾	铁毒蛾
铁荆棘	铁荆棘
凉嵴龙	冻嵴龙
冻嵴龙	戟嵴龙
戟嵴龙	戟嵴龙
索财灵	赛富豪
赛富豪	赛富豪
古简蜗	古简蜗
古剑豹	古剑豹
古鼎鹿	古鼎鹿
古玉鱼	古玉鱼
轰鸣月	轰鸣月
铁武者	铁武者
故勒顿	故勒顿
密勒顿	密勒顿
波荡水	波荡水
铁斑叶	铁斑叶
